transaction_id,date,customer_id,channel,product_tier,revenue,approved,processing_failure,disputed
T000000001,2024-01-01,101284,Web,Growth,244.92,0,0,0
T000000002,2024-01-01,100460,Outbound,Starter,168.54,1,0,0
T000000003,2024-01-01,100754,Outbound,Starter,152.65,1,0,0
T000000004,2024-01-01,100912,Web,Starter,173.98,0,0,0
T000000005,2024-01-01,101109,Web,Growth,345.86,1,0,0
T000000006,2024-01-01,100498,Inbound,Starter,195.5,1,0,0
T000000007,2024-01-01,100950,Inbound,Growth,335.52,0,0,0
T000000008,2024-01-01,100672,Outbound,Starter,157.15,1,0,0
T000000009,2024-01-01,100812,Web,Starter,193.13,0,0,0
T000000010,2024-01-01,101293,Web,Growth,315.76,1,0,0
T000000011,2024-01-01,100590,Web,Growth,412.94,0,0,0
T000000012,2024-01-01,101002,Web,Starter,261.66,1,0,0
T000000013,2024-01-01,101412,Inbound,Pro,553.92,1,0,0
T000000014,2024-01-01,101143,Outbound,Starter,247.18,0,0,0
T000000015,2024-01-01,101483,Inbound,Starter,224.45,1,0,0
T000000016,2024-01-01,100875,Web,Starter,193.82,1,0,0
T000000017,2024-01-01,100422,Partner,Growth,334.43,1,0,0
T000000018,2024-01-01,101487,Inbound,Growth,262.89,0,0,0
T000000019,2024-01-01,100966,Inbound,Starter,192.58,0,0,0
T000000020,2024-01-01,100362,Web,Pro,635.42,1,0,0
T000000021,2024-01-01,100475,Web,Growth,261.97,1,0,0
T000000022,2024-01-01,100393,Web,Pro,573.3,1,0,0
T000000023,2024-01-01,101250,Inbound,Growth,180.09,0,0,0
T000000024,2024-01-01,100138,Web,Pro,388.36,0,0,0
T000000025,2024-01-01,101109,Web,Growth,369.94,0,0,0
T000000026,2024-01-01,100831,Web,Starter,149.98,1,0,0
T000000027,2024-01-01,100110,Web,Starter,149.91,1,0,0
T000000028,2024-01-01,100920,Web,Growth,307.11,0,0,0
T000000029,2024-01-01,101129,Web,Starter,248.74,0,0,0
T000000030,2024-01-01,101088,Partner,Growth,339.67,1,0,0
T000000031,2024-01-01,100792,Outbound,Starter,117.48,0,0,0
T000000032,2024-01-01,100503,Outbound,Growth,340.95,1,0,0
T000000033,2024-01-01,100245,Web,Starter,138.12,1,0,0
T000000034,2024-01-01,100018,Web,Pro,783.84,1,0,0
T000000035,2024-01-01,100539,Inbound,Starter,264.81,1,0,0
T000000036,2024-01-01,100948,Inbound,Starter,121.78,1,0,0
T000000037,2024-01-01,100056,Web,Growth,296.23,0,0,0
T000000038,2024-01-01,101498,Web,Growth,281.74,1,0,0
T000000039,2024-01-01,100878,Web,Growth,357.89,0,0,0
T000000040,2024-01-01,100441,Outbound,Pro,501.48,1,0,0
T000000041,2024-01-01,101443,Web,Starter,199.69,1,0,0
T000000042,2024-01-01,100275,Web,Growth,235.1,1,0,0
T000000043,2024-01-01,101436,Inbound,Starter,105.69,1,0,0
T000000044,2024-01-01,100422,Inbound,Growth,389.37,1,0,0
T000000045,2024-01-01,100569,Web,Starter,165.96,1,0,0
T000000046,2024-01-01,100638,Inbound,Starter,223.56,0,0,0
T000000047,2024-01-01,101492,Partner,Growth,411.01,0,0,0
T000000048,2024-01-01,100376,Web,Growth,277.38,1,1,0
T000000049,2024-01-01,101459,Web,Starter,190.63,1,0,0
T000000050,2024-01-01,100520,Inbound,Pro,943.42,1,0,0
T000000051,2024-01-01,100427,Web,Growth,384.6,1,0,0
T000000052,2024-01-01,100957,Inbound,Starter,190.45,1,0,0
T000000053,2024-01-01,101040,Web,Growth,472.7,1,0,0
T000000054,2024-01-01,100517,Inbound,Starter,212.88,0,0,0
T000000055,2024-01-01,100201,Web,Starter,214.97,1,0,0
T000000056,2024-01-01,100594,Web,Growth,262.23,0,0,0
T000000057,2024-01-01,100810,Inbound,Starter,163.72,0,0,0
T000000058,2024-01-01,100060,Inbound,Starter,232.81,1,0,0
T000000059,2024-01-01,100117,Web,Growth,303.41,0,0,0
T000000060,2024-01-01,101376,Inbound,Starter,111.36,1,0,0
T000000061,2024-01-01,100053,Inbound,Growth,401.84,0,0,0
T000000062,2024-01-01,100610,Outbound,Growth,330.78,0,0,0
T000000063,2024-01-01,101145,Web,Starter,168.36,0,0,0
T000000064,2024-01-01,100492,Partner,Growth,403.92,0,0,0
T000000065,2024-01-01,100742,Outbound,Starter,211.31,1,0,0
T000000066,2024-01-01,100129,Web,Growth,258.52,0,0,0
T000000067,2024-01-01,101191,Outbound,Starter,163.38,1,0,0
T000000068,2024-01-01,100951,Outbound,Pro,659.01,1,0,0
T000000069,2024-01-01,101277,Outbound,Starter,201.59,1,0,0
T000000070,2024-01-01,101295,Inbound,Growth,273.63,0,0,0
T000000071,2024-01-01,100526,Outbound,Starter,141.73,0,0,0
T000000072,2024-01-01,100061,Web,Starter,184.45,1,0,0
T000000073,2024-01-01,100519,Inbound,Growth,292.87,0,0,0
T000000074,2024-01-01,100217,Web,Growth,221.97,1,0,0
T000000075,2024-01-01,100799,Inbound,Pro,494.55,1,0,0
T000000076,2024-01-01,100219,Outbound,Starter,184.48,1,0,0
T000000077,2024-01-01,101382,Inbound,Starter,137.66,1,0,0
T000000078,2024-01-01,100903,Partner,Starter,248.43,1,0,0
T000000079,2024-01-02,100119,Web,Starter,136.52,1,0,0
T000000080,2024-01-02,100233,Web,Starter,113.86,1,0,0
T000000081,2024-01-02,101475,Web,Pro,530.89,1,0,0
T000000082,2024-01-02,100746,Outbound,Starter,239.97,1,0,0
T000000083,2024-01-02,100237,Inbound,Starter,198.6,0,0,0
T000000084,2024-01-02,100465,Partner,Starter,129.55,1,0,0
T000000085,2024-01-02,101454,Inbound,Growth,224.1,0,0,0
T000000086,2024-01-02,101041,Inbound,Growth,402.82,0,0,0
T000000087,2024-01-02,100335,Outbound,Growth,326.04,1,0,0
T000000088,2024-01-02,100360,Web,Starter,207.3,1,0,0
T000000089,2024-01-02,100112,Web,Starter,45.64,1,0,0
T000000090,2024-01-02,101159,Web,Pro,455.15,0,0,0
T000000091,2024-01-02,100206,Web,Starter,134.84,1,0,0
T000000092,2024-01-02,100429,Web,Starter,116.02,1,0,0
T000000093,2024-01-02,100522,Web,Growth,204.06,0,0,0
T000000094,2024-01-02,100931,Inbound,Starter,208.42,0,0,0
T000000095,2024-01-02,100909,Web,Starter,106.17,1,0,0
T000000096,2024-01-02,101198,Inbound,Growth,366.42,0,0,0
T000000097,2024-01-02,100445,Inbound,Growth,243.49,1,0,0
T000000098,2024-01-02,100578,Inbound,Starter,191.22,0,0,0
T000000099,2024-01-02,100582,Web,Starter,140.96,1,0,0
T000000100,2024-01-02,100070,Web,Growth,382.19,1,0,0
T000000101,2024-01-02,101106,Web,Starter,226.17,0,0,0
T000000102,2024-01-02,100803,Web,Starter,111.99,1,0,0
T000000103,2024-01-02,100713,Web,Growth,265.14,1,0,0
T000000104,2024-01-02,101493,Inbound,Growth,354.38,1,0,0
T000000105,2024-01-02,100268,Web,Pro,560.16,1,0,0
T000000106,2024-01-02,101453,Web,Starter,103.14,1,0,0
T000000107,2024-01-02,101020,Web,Starter,173.4,1,0,0
T000000108,2024-01-02,100331,Inbound,Growth,375.01,0,0,0
T000000109,2024-01-02,101017,Inbound,Growth,421.43,0,0,0
T000000110,2024-01-02,101133,Web,Starter,202.44,1,0,0
T000000111,2024-01-02,100543,Inbound,Growth,265.2,1,0,0
T000000112,2024-01-02,100517,Outbound,Starter,143.48,0,0,0
T000000113,2024-01-02,101252,Outbound,Growth,300.65,1,0,0
T000000114,2024-01-02,100240,Inbound,Growth,308.73,1,1,0
